id,name,industry,region,status
J7L9Q8,Kilo Health,Healthcare,Europe,Inactive
PJ4J92,Charlie Marketplace,Retail,Asia,Active
Q4V1B8,Rho Advanced Tech,Technology,North America,Active
L2J3C1,Lambda Provisions,Retail,Asia,Active
S8P6D4,Upsilon Goods,Retail,Asia,Active
S7U6D4,Upsilon Consumer Goods,Retail,Asia,Active
P3H6N2,Sigma Wholesale,Retail,Asia,Active
Y2A4F0,Beta Retail Group,Retail,Asia,Active
T7F1Z3,Zeta Corp,Technology,North America,Active
Y3D5S7,Gamma Retail,Retail,Asia,Active
F5R8K0,Echo Pharma,Healthcare,Europe,Inactive
E8H4M5,Pi Retail,Retail,Asia,Active
PP83C1,Lambda Retail,Retail,Asia,Active
RNY3X6,Phi Healthcare,Healthcare,Europe,Inactive
B5E9J0,Mu Distribution,Retail,Asia,Active
G739H4,Alice Inc,Technology,North America,Active
PK84J2,Iota Tech,Technology,North America,Active
G0J8O8,Sigma Health,Healthcare,Europe,Inactive
P8U5S7,Gamma Stores,Retail,Asia,Active
X1T9Y6,Omega Health Systems,Healthcare,Europe,Inactive
H5R8K0,Echo Pharmaceuticals,Healthcare,Europe,Inactive
GP39H4,Alice Tech,Technology,North America,Active
X1JKY6,Omega Health Care,Healthcare,Europe,Inactive
K82P07,Bob LLC,Healthcare,Europe,Inactive
U8X2C6,Epsilon LLC,Healthcare,Europe,Inactive
F9I6N7,Rho Software,Technology,North America,Active
K82P08,Bob Health,Healthcare,Europe,Inactive
D7G2L3,Omicron Energy,Healthcare,Europe,Inactive
I0V1B8,Rho Global Tech,Technology,North America,Active
R9U3X6,Phi Medical,Healthcare,Europe,Inactive
H1K9P9,Tau Commerce,Retail,Asia,Active
N0K5T9,Theta Consulting,Healthcare,Europe,Inactive
M1D8G0,Nu Tech Innovations,Technology,North America,Active
H6H4J2,Iota Electronics,Technology,North America,Active
J7P9Q8,Kilo Wellness,Healthcare,Europe,Inactive
U8X2C5,Epsilon Health,Healthcare,Europe,Inactive
C6F1K1,Xi Electronics,Technology,North America,Active
X64J92,Charlie Corp,Retail,Asia,Active
P3H9N2,Sigma Retailers,Retail,Asia,Active
Z3P6G9,Tao Tech,Technology,North America,Active
V9B1W5,Omicron Services,Retail,Asia,Active
N0K5T8,Theta Health Consulting,Healthcare,Europe,Inactive
T7F103,Zeta Technologies,Technology,North America,Active
E0B3G5,Omega Solutions,Technology,North America,Active
M1D8G1,Nu Innovations,Technology,North America,Active
V9B1W4,Omicron Retail Services,Retail,Asia,Active
A4D7H8,Kappa Solar,Technology,North America,Active
E0B3G6,Omega Integrated Solutions,Technology,North America,Active
W0E3R7,Psi Networks,Technology,North America,Active
W0E3R8,Psi Networking,Technology,North America,Active
